,Pinyin Name,English Name,Latin Name,Attributes,Meridians/Energy_channels,Use Part,Effect,Indication
3417,LIAN QIAO,Weeping Forsythia,Forsythia suspensa,"Minor cold,Bitter","Heart,Gallbladder",dried fruit,"To clear heat and resolve toxin, dissipate binds and disperse swelling.","Influenza in early stage, common cold in early stage, wind-heat common cold, encephalitis, hepatitis, tuberculosis, warm disease, heat strangury with inhibited pain, welling abscess, welling abscess and flat abscess, toxin swelling, scrofula, goiter and tuberculosis, throat impediment."
3422,HE GENG,Hindu Lotus Petiole,Nelumbo nucifera,"Mild,Bitter","Spleen,Stomach,Liver",dried petiole and pedicel,"To dispel summerheat, rectify  qi and transform damp.","Summerheat-damp and oppression in chest, diarrhea, dysentery, strangury, Vaginal discharge."
3425,JING JIE,Fineleaf Schizonepeta,Schizonepeta tenuifolia  [Syn.  Nepeta tenuifolia],"Minor Warm,Pungent","Lung,Liver",aerial parts,"To dispel wind, resolve exterior, outthrust papules, stanch bleeding.","Common cold with fever, headache, itchy eye, cough, swelling pain in throat, measles papules, wind papules, swollen welling abscess, sore and scab, throat pain, conjunctivitis, child measles, spontaneous external bleeding, blood ejection, hematochezia, flooding and spotting, postpartum blood dizziness."
3446,MAN SHAN HONG,Dahurian Rhododendron,Rhododendron dauricum,"Warm,Pungent,Bitter",Lung,leaf,"To relieve cough, dispel phlegm.","Acute bronchitis, chronic bronchitis."
3450,MA BO,Bark-less Puff-ball Equivalent plant: Lycoperdon pyriforme,Lasiosphaera fenzlii,"Mild,Pungent","Large Intestine,Liver",sporocarp,"To clear lung and disinhibit throat, stanch bleeding.","Cough, aphonia, nosebleed(epistaxis), bleeding due to external injury."
3496,SU MU,Sappan Caesalpinia,Caesalpinia sappan,"Mild,Pungent,Sweet,Salty","Spleen,Liver,Heart",heartwood,"To quicken blood and dispel stasis, disperse swelling and relieve pain.","Amenorrhea and dysmenorrhea, postpartum blood stasis, stabbing pain in chest and abdomen, swelling pain due to external injury."
3533,FO SHOU,Fleshfingered Citron,Citrus medica  var. sarcodactylis,"Warm,Pungent,Bitter","Lung,Spleen,Stomach,Liver",fruit,"To rectify  qi  and relieve pain, fortify stomach and resolve phlegm.","Stomachache, distention in rib-side, vomiting, dysphagia-occlusion, phlegm-rheum cough asthma."
3564,JIN GUO LAN,Hairystalk Tinospora,Tinospora capillipes,"Cold,Bitter","Lung,Large Intestine",root,See  Tinospora sagittata.,See Tinospora sagittata .
3595,FANG JI,Fourstamen Stephania,Stephania tetrandra,"Cold,Pungent,Bitter","Bladder,Spleen,Kidney",root,"To disinhibit water and disperse edema, dispel wind and relieve pain.","Beriberi with edema,  inhibited urination, eczema, sore toxin, wind-damp impediment pain, hypertension, adjuvant in anesthesia."
3637,JI XUE CAO,Asiatic Pennywort,Centella asiatica,"Warm,Slightly Sweet,Bitter",Liver,whole herb with root,"To clear heat and disinhibit damp, resolve toxin and disperse swelling, lower blood pressure.","Sand qi  abdominal pain, summerheat-heat diarrhea, dysentery, damp-heat jaundice, sand strangury, blood strangury, blood ejection, spontaneous external bleeding, red eyes, swollen throat, wind papules, scab and lichen, swelling toxin of clove welling abscess, knocks and falls, hypertension."
3640,MO YAO,Myrrh,Commiphora myrrha  [Syn.  Commiphora molmol],"Mild,Pungent,Bitter","Spleen,Liver,Heart,Kidney",balsam,"To quicken blood and relieve pain, disperse swelling and engender flesh.","Stasis pain in chest and abdomen, amenorrhea, dysmenorrhea, concretion and conglomeration, knocks and falls, swollen welling abscess and sores, intestinal welling abscess, red eyes with gall."
3661,ZI SU YE,Common Perilla Leaf Equivalent plant:  Perilla frutescens var acuta,Perilla frutescens var. arguta,"Pungent,warm","Lung,spleen",leaf,"To dissipate cold and resolve exterior, diffuse lung and transform phlegm, move  qi  and harmonize center, quiet fetus, resolve toxin of fish and crab.","Wind-cold exterior syndrome, cough with profuse phlegm, distention fullness in chest and stomach duct, nausea and vomiting, abdominal pain and diarrhea, malign obstruction in pregnancy, poisoning of fish or crab."
3675,QIANG HUO,Incised Notopterygium Equivalent plant:  Notopterygium forbesii,Notopterygium incisum,"Warm,Pungent,Bitter","Bladder,Kidney",rhizome or root,"To dissipate cold and resolve exterior, dispel wind and eliminate damp, disinhibit joints, relieve pain.","Externally contracted wind-cold, headache without sweating, wind-cold-damp impediment, edema, toxin swelling of sores."
3682,HAI JIN SHA,Japanese Climbing Fern,Lygodium japonicum,"Cold,Sweet","Bladder,Small Intestine",aerial parts,"To clear heat and resolve toxin, disinhibit water and free strangury, quicken blood and free network vessels.","Heat strangury, stone strangury, blood strangury, inhibited urination [=dysuria], edema, white turbidity, vaginal discharge, hepatitis, diarrhea, dysentery, common cold with fever, cough and asthma, swelling pain in throat, mouth sore, red eyes with gall, mumps, mammary welling abscess, erysipelas, zoster, burns and scalds, itchy skin, wound swelling from knocks and falls, wind-damp impediment pain, bleeding due to external injury."
3747,QIAN NIU ZI,Lobedleaf Pharbitis Seed Equivalent plant: Pharbitis purpurea,Pharbitis nil,"Cold,Bitter","Lung,Large Intestine,Kidney",seed,"To drain water and free stool, disperse accumulation and kill worms.","Edema distention fullness, inhibited urine and stool, phlegm-rheum and accumulation-gathering,  qi counterflow with cough and asthma, abdominal pain due to worm accumulation, ascariasis, taeniasis."
3765,A WEI,Asafetida Giantfennel Resin,Ferula assafoetida,"Warm,Pungent,Bitter","Spleen,Stomach,Liver",balsam,"To transform concretion and disperse accumulation, kill worms, interrupt malaria.","Concretion and conglomeration, lump glomus, worm accumulation, meat-type food accumulation, cold pain in heart and abdomen, malaria, dysentery."
3782,ZHU LING,Popyporus Agaric,Polyporus umbellatus,"Mild,Sweet,Neutral","Bladder,Kidney",sclerotium,"To disinhibit water and percolate damp, anticancer.","Inhibited urination, edema, ascites, carcinoma of lung, carcinoma of esophagus, diarrhea, strangury-turbidity, vaginal discharge."
3788,MU GUA,Chinese Floweringquince,Chaenomeles sinensis,"Warm,Sour","Spleen,Liver",fruit,"To harmonize stomach and soothe sinews, dispel wind-damp, disperse phlegm and allay thirst.","Vomiting and diarrhea with cramp, wind-damp impediment pain, cough and abundant phlegm, diarrhea, dysentery, painful wound from knocks and falls, beriberi with edema."
3817,XIAN HE CAO,Japanese Argimonia,Agrimonia pilosa var. japonica,"Mild,Bitter,Punkery","Lung,Spleen,Liver",aerial parts,"To promote astriction and stanch bleeding, interrupt malaria, check dysentery, resolve toxin.","Hemoptysis, blood ejection, flooding and spotting, malaria, blood dysentery, swelling toxin of wellingabscess and sore, pudendal itch, Vaginal discharge."
3825,YU JIN,AromaticTurmeric,Curcuma aromatica,"Cold,Pungent,Bitter","Liver,Heart,Gallbladder",tuberoid,See  Curcuma longa .,See  Curcuma longa.
3842,HUI XIANG,Fennel Fruit,Foeniculum vulgare,"Warm,Pungent","Spleen,Stomach,Liver,Kidney",fruit,"To warm kidney and disperse cold, rectify  qi  and harmonize stomach .","incarcerated hernia of intestine, effusion of vaginal coat, elephantiasis of scrotum, cold mounting, cold pain in lesser-abdomen, kidney vacuity lumbago, stomachache, vomiting, beriberi."
3877,QUAN SHEN,Bistort,Polygonum bistorta,"Cool,Bitter","Lung,Large Intestine,Liver",rhizome,"To clear heat and resolve toxin, disperse swelling, stanch bleeding.","Red dysentery, heat diarrhea, lung heat cough, swollen welling abscess, scrofula, mouth sore, tongue sores, blood ejection, spontaneous external bleeding, bleeding from hemorrhoids, poisonous snake bite."
3880,BI XIE,"Hypoglaucous Collett Yam Equivalent plant: Dioscorea gracillima , Dioscorea tokoro",Dioscorea hypoglauca  [Syn.  Dioscorea collettii var. hypoglauca],"Minor cold,Sweet","Stomach,Liver",rhizome,"To disinhibit damp and turbidity, dispel wind-damp.","Unctuous strangury, white turbidity, vaginal discharge, sores, wind-damp impediment pain."
3908,FU PEN ZI,Red-and-Yellow Garden Raspberry,Rubus idaeus,"Mild,Sweet,Sour","Liver,Kidney",fruit,"To supplement liver and boost kidney, secure essence and reduce urine, brighten eyes.","Impotence with premature ejaculation, emission, infertility due to uterus cold, frequent urination and enuresis, dizziness and dim vision, premature graying in beard and hair."
3919,SANG ZHI,White Mulberry Branch,Morus alba,"Mild,Bitter",Liver,young twig,"To dispel wind-damp, disinhibit joints, lower blood pressure, disinhibit urine.","Hypertension, aching pain in joints, numbness in joints."
3933,XUAN SHEN,Ningpo Figwort Equivalent plant:  Scrophularia buergeriana,Scrophularia ningpoensis,"Cold,Sweet,Bitter,Salty","Lung,Stomach,Kidney",root,"To clear heat and cool blood, enrich  yin  and downbear fire, resolve toxin and dissipate binds.","Heat entering construction-blood, generalized fever, vexation and thirst, crimson tongue, macular eruption, steaming bone taxation cough, vacuity vexation and insomnia, fluid damage and constipation, dry eyes with clouded flowery vision, swelling pain in throat, scrofula with phlegm node, sore toxin of welling abscess and flat abscess."
4023,LIAN ZI XIN,Hindu Lotus Plumule,Nelumbo nucifera,"Mild,Sweet,Punkery","Spleen,Heart,Kidney",dried plumule and radicle in seed,"To clear heart fire, clear liver fire, stanch bleeding, secure essence.","Heat entering pericardium, clouded spirit with delirious speech, non-interaction of heart and kidney, insomnia and emission, blood ejection due to blood heat, hypertension."
4050,MU XIANG,Common Aucklandia (Costustoot),Saussurea lappa  [Syn.  Aucklandia lappa],"Warm,Pungent,Bitter","Spleen,Large Intestine,Stomach,Gallbladder,Three End",root,"To move qi and relieve pain, fortify spleen and disperse food.","Distending pain in chest and stomach duct, diarrhea and tenesmus, non-digestion of food accumu lation, no thought of food and drink."
4058,QI ZI,True Lacquer Seed,Rhus verniciflua [Syn.  Toxicadendron verniciflum ],"Mild,Sweet","Lung,Liver,Kidney",seed,"To quicken blood and stanch bleeding, warm channels and relieve pain.","Hematochezia, hematuria, flooding and spotting, abdominal pain due to stagnation, amenorrhea."
4106,SHE GAN,Blackberrylily,Belamcanda chinensis,"Cold,Bitter",Lung,rhizome,"To clear heat and resolve toxin, disperse phlegm, disinhibit throat.","Heat toxin and phlegm-fire stasis, swelling pain in throat, cough and asthma."
4157,CANG ZHU,"Swordlike Atractylodes Equivalent plant: Atractylodes chinensis,  Atractylodes japonica",Atractylodes lancea,"Warm,Pungent,Bitter","Spleen,Stomach",rhizome,"To dispel damp and strengthen spleen, dispel wind, brighten eyes.","Spleen-stomach damp turbidity, fatigue hypodynamia, glomus in chest, abdominal distention, inappetence, vomiting and diarrhea, phlegm-rheum, damp edema, exterior damp, heavy head and generalized pain, damp impediment, aching pain in limbs, crippling wilt, night blindness."
4178,WU MEI,Japanese Apricot,Prunus mume,"Mild,Sour","Lung,Spleen,Stomach,Liver",unripe fruit,"To constrain lung and relieve cough, astringe intestines and check diarrhea, stanch bleeding, engender liquid, quiet roundworm, close sores.","Enduring cough, chronic diarrhea and dysentery, hematuria, hematochezia, flooding and spotting, vacuity heat with vexation and thirst, roundworm reversal with abdominal pain, outcrop of sore and welling abscess."
4194,JU PI,Tangerine Pericarp,Citrus reticulata,"Warm,Pungent,Bitter","Lung,Spleen",pericarp,"To rectify qi  and downbear counterflow, regulate center and increase appetite, dry damp and transform phlegm.","Spleen-stomach  qi  stagnation and damp obstruction, lung  qi  block, cough with profuse phlegm, mammary welling abscess, indigestion, vomiting."
4196,HUANG HAO,Virg ate Wormwood,Artemisia scoparia  [Syn.  Artemisia capillaris  var. scoparia],"Cold,Pungent,Bitter","Liver,Kidney,Gallbladder",aerial parts,See  Artemisia capillaris.,See Artemisia capillaris.
4226,BAI JIANG CAN,Silkworm Larva,Bombyx mori,"Salty, pungent,neutral","Liver,lung",dried larva,"To dispel wind and resolve tetany, transform phlegm and dissipate binds, resolve toxin and disinhibit throat.","Epilepsy, fright wind and convulsion, swelling pain in throat, acute infection of upper respiratory tract, epidemic parotitis, diabetes mellitus, temporomandibular lymphrnoditis, facial paralysis, itchy skin."
4246,AN XI XIANG,Sumatra Snowbell Equivalent plant: Styrax tonkinensis,Styrax benzoin,"Mild,Pungent,Bitter","Spleen,Heart",balsam,"To open orifices and arouse spirit, break phlegm and repel foulness, move qi  and quicken blood, relieve pain.","Sudden stroke and fulminant reversal, pain in heart and abdomen, postpartum blood dizziness, child fright epilepsy, wind impediment and lumbago."
4253,WU LING ZHI,Trogopterus Dung,"Trogopterus xanthipes,  Pteromys volans","Warm,Sweet,Bitter,Salty",Liver,dried feces,"To quicken blood and relieve pain, transform stasis and stanch bleeding, disperse accumulation and resolve toxin.","Amenorrhea, postpartum blood stasis abdominal pain, flooding, profuse menstruation, incessant red and white vaginal discharge, snake bite, scorpion sting, centipede bite."
4273,DING XIANG,Clove Tree,Syzygium aromaticum  [Syn.  Eugenia caryophyllata],"Warm,Pungent","Spleen,Stomach,Kidney",flower bud,"To warm center and downbear counterflow, warm kidney and invigorate yang .","Stomach cold with retching counterflow, hiccough, cold pain in stomach  duct and abdomen, reduced food intake and diarrhea, kidney vacuity impotence, vacuity cold in lumbus and knees,  yin  flat abscess."
4321,SU HE XIANG,Oriental Sweetgum Resin,Liquidambar orientalis,"Warm,Pungent","Spleen,Heart",balsam from trunk,"To open orifices, break foul, relieve pain.","Wind stroke with phlegm reversal, sudden clouding collapse, cold pain in chest and abdomen, fright epilepsy, warm disease."
4322,XIANG YUAN,Wilson Citron,Citrus wilsonii,"Warm,Pungent,Sour,Slightly Bitter","Lung,Spleen,Stomach,Liver",fruit,See  Citrus medica .,See  Citrus medica .
4352,HUANG HUA DI DING,Diluteyellow Crotalaria,Crotalaria albida,"Cold,Pungent,Bitter","Liver,Heart",whole herb,"To drain lung and disperse phlegm, clear heat and disinhibit damp, resolve toxin and disperse swelling.","Cough and asthma with abundant phlegm, damp-heat diarrhea dysentery, jaundice, dribbling pain of urination, insomnia and vexation, mammary welling abscess, swelling toxin of welling abscess and sore."
4404,SHAN NAI,Galanga Resurrectionlily,Kaempferia galanga,"Warm,Pungent",Stomach,rhizome,"To warm center and move qi , disperse food, relieve pain.","Distention fullness in chest and diaphragm, cold pain in stomach duct and abdomen, non-digestion of food accumulation."
4431,XI XIAN,"Common St Paulswort Equivalent plant: Siegesbeckia orientalis var pubescens, Siegesbeckia orientalis var glabrescens",Siegesbeckia orientalis,"Cold,Bitter","Spleen,Liver",aerial parts,"To dispel wind-damp, free channels and network vessels, clear heat and resolve toxin.","Wind-damp impediment pain, lassitude in lumbus and knees, hemiplegia, hypertension, malaria, jaundice, swelling toxin of welling abscess and sore, wind papules, damp sore, animal and insect bites."
4433,BO HE,Wild Mint,Mentha haplocalyx,"Cool,Pungent","Lung,Liver",dried aerial parts,"To dissipate wind-heat, clear head and eyes, disinhibit pharynx and larynx, outthrust papules, resolve depression.","Chronic urticaria, infection of upper respiratory tract, sarcoma, wind-heat exterior syndrome, headache and red eyes, swelling pain in throat, non-eruption of measles, dormant papules with pruritus, liver depression and rib-side pain, abdominal distention."
4440,BAN ZHI LIAN,Barbed Skullcap,Scutellaria barbata  [Syn.  Scutellaria rivularis],"Cold,Pungent,Slightly Bitter","Lung,Liver,Kidney",whole herb,"To clear heat and resolve toxin, stanch bleeding and dissipate stasis, disinhibit urine and disperse edema.","Heat toxin swollen welling abscess, throat pain, pulmonary welling abscess, intestinal welling abscess, scrofula, poisonous snake bite, knocks and falls, blood ejection, spontaneous external bleeding, blood strangury, edema, ascites, carcinoma."
4514,ZHE BEI MU,Thunberg Fritillary,Fritillaria verticillata var.  thunbergii [Syn.  Fritillaria thunbergii ],"Cold,Bitter","Lung,Heart",bulb,"To clear heat and resolve phlegm, dissipate binds and disperse swelling.","Chronic bronchitis, infection of upper respiratory tract, tuberculosis, gastric ulcer, duodenal ulcer, externally contracted wind-heat, phlegm fire cough, pulmonary welling abscess, mammary welling abscess, scrofula, sore toxin, depression in heart-chest."
4518,ZAO XIU,"Manyleaf Paris Equivalent plant:  Paris polyphylla  var chinensis, Paris polyphylla  var Yunnanensis ,  Paris polyphylla  var pseudothibetica , Paris polyphylla var stenophylla",Paris polyphylla,"Cold,Bitter",Liver,rhizome,"To clear heat and resolve toxin, disperse swelling and relieve pain, cool liver and settle fright.","Swelling toxin of welling abscess and sore, throat impediment, mammary welling abscess, snake or insect bites, painful wound from knocks and falls, liver heat and convulsion."
4553,CAO BEI MU,Indian Iphigenia,Iphigenia indica,"Warm,Bitter","Lung,Spleen,Stomach,Liver",bulb,To dissipate binds and relieve pain.,"Carcinoma of mammary glands, nasopharyngeal carcinoma, carcinoma of salivary gland, scrofula, swelling of skin, pain wind."
4557,JI GU CAO,Canton Abrus,Abrus fruticulosus  [Syn.  Abrus cantoniensis ],"Cool,Sweet,Slightly Bitter","Stomach,Liver",whole herb,"To clear heat and disinhibit damp, dissipate stasis and relieve pain.","Icterohepatitis, stomachache, wind-damp bone pain, stasis pain from knocks and falls, mammary welling abscess."
4572,FENG WEI CAO,Chinese Brake,Pteris multifida,"Cold,Bitter,Neutral","Large Intestine,Stomach,Liver,Kidney",whole herb or rhizome,"To clear heat and disinhibit damp, resolve toxin and disperse swelling, cool blood and stanch bleeding.","Dysentery, diarrhea, strangury-turbidity, vaginal discharge, jaundice, swelling toxin of clove sore, throat impediment with nipple moth, scrofula, parotitis, mastitis, ardent fever and convulsion, snake or insect bites, blood ejection, spontaneous external bleeding, hematuria, hematochezia, bleeding due to external injury."
4598,BI MA ZI,Castorbean Seed,Ricinus communis,"Mild,Pungent,Sweet","Lung,Large Intestine",ripe seed,"To disperse swelling and draw out toxin, drain precipitation and free stagnation.","Swelling toxin of welling abscess and flat abscess, throat impediment, scrofula, dry stool."
4602,CHUAN XIN LIAN,Common Andrographis,Andrographis paniculata  [Syn.  Justicia paniculata ],"Cold,Bitter","Lung,Large Intestine,Stomach,Small Intestine",dried aerial parts,"To clear heat and resolve toxin, drain fire, dry damp.","Infection of upper respiratory tract, fever, wind-heat common cold, bacillary dysentery, diarrhea, tonsillitis, pneumonia, tuberculosis, lung heat cough, pulmonary welling abscess, postlithotripsy urinary tract infection, warm disease fever, pertussis, swelling pain in throat, damp-heat jaundice, strangury syndrome, erysipelas, sore and welling abscess, eczema, poisonous snake bite."
4626,HU ER CAO,Creeping Rockfoil,Saxifraga stolonifera,"Cold,Pungent,Bitter","Lung,Liver,Heart",whole herb,"To dispel wind and clear heat, cool blood and resolve toxin.","Wind papules, eczema, otitis media, erysipelas, cough with blood ejection, pulmonary welling abscess, flooding and spotting, hemorrhoids."
4635,NIU XI,Twotooth Achyranthes,Achyranthes bidentata,"Mild,Sweet,Sour,Bitter","Liver,Kidney",root,"To supplement liver and kidney, strengthen sinews and bones, quicken blood and regulate menstruation, disinhibit urine and free strangury.","Aching in lumbus and knees, amenorrhea due to blood stasis, dysmenorrhea, postpartum blood stasis abdominal pain, concretion and conglomeration, retention of placenta , heat strangury, blood strangury, knocks and falls, swollen welling abscess and malign sore, swelling pain in throat."
4640,BAI DOU KOU,Round Cardamom,Amomum kravanh [Syn.  Amomum cardamomum],"Warm,Pungent","Lung,Spleen,Stomach",seed,"To transform damp and move  qi , warm center and check vomiting, increase appetite and disperse food.","Spleen-stomach  qi stagnation due to damp obstructing middle-jiao, vomiting with stomach cold, vomiting of milk in infants with stomach cold."
4654,MI MENG HUA,Pale Butterflybush,Buddleja officinalis,"Minor cold,Sweet",Liver,flower,"To clear heat and nourish liver, eliminate screen and brighten eyes.","Red eyes with gall, delacrimation and photophobia, liver vacuity dim vision, dim vision, malaria."
4689,GAO LIANG JIANG,Lesser Galangal,Alpinia officinarum,"Hot,Pungent","Spleen,Stomach",rhizome,"To warm stomach, dispel wind, dissipate cold, move qi,  relieve pain.","Cold pain in stomach duct and abdomen, vomiting, diarrhea."
4699,BAN XIA,Ternate Pinellia,Pinellia ternata,"Warm,Pungent","Lung,Spleen,Stomach",tuber,"To eliminate damp and resolve cold phlegm, downbear counterflow and check vomiting, disperse glomus and dissipate binds.","Cough and asthma with abundant phlegm, vomiting nausea, glomus in chest, dizziness, headache, vexation and agitation in night, goiters with phlegm node, swelling toxin of welling abscess and flat abscess."
4712,MU DAN PI,Subshrubby Peony Bark Equivalent plant: Paeonia delavayi,Paeonia moutan [Syn.  Paeonia suffruticosa],"Minor cold,Pungent,Bitter","Liver,Heart,Kidney",root cortex,"To clear heat and cool blood, quicken blood and dissipate stasis.","Appendicitis, dysentery, hypertension, allergic rhinitis, warm heat disease with fever, macular eruption, blood ejection, spontaneous external bleeding, steaming bone tidal fever due to yin  vacuity, amenorrhea due to blood stasis, dysmenorrhea, concretion and conglomeration, swelling toxin of welling abscess and sore, painful wound from knocks and falls, wind-damp-heat impediment."
4736,LI YU,Carp,Cyprinus carpio,"Mild,Sweet","Spleen,Kidney",meat,"To fortify spleen and harmonize stomach, disinhibit water and precipitate qi, free milk, quiet fetus.","Stomachache, diarrhea, water-damp fullness, inhibited urination, beriberi,  jaundice, cough and  qi  counterflow, stirring fetus in pregnancy, edema in pregnancy, postpartum scant milk."
4742,GOU JI,Cochinchina Cudrania,Cudrania cochinchinensis,"Warm,Sweet,Bitter","Liver,Kidney",root,"To dispel wind and free network vessels, clear heat and remove damp, resolve toxin and disperse swelling.","Wind-damp impediment pain, knocks and falls, jaundice, parotitis, phthisis, gastric ulcer, duodenal ulcer, strangury-turbidity, tympanites, menstrual block, taxation damage and coughing of blood, clove sore and swollen welling abscess."
4756,REN DONG TENG,Japanese Honeysuckle Vine,Lonicera japonica,"Cold,Sweet","Lung,Spleen,Stomach,Heart",stem-branch,"To clear heat and resolve toxin, free network vessels.","Warm disease fever, swelling toxin of sore and welling abscess, heat toxin blood dysentery, wind-damp-heat impediment."
4760,HUO XIANG,Wrinkled Gianthyssop,Agastache rugosus,"Minor Warm,Pungent","Lung,Spleen,Stomach",aerial parts,"To dispel summerheat and resolve exterior, harmonize stomach and transform damp.","Summer common cold, cold-heat headache, glomus and oppression in chest and stomach duct, vomiting and diarrhea, diarrhea in pregnancy, deep-source nasal congestion."
4793,SHU DI HUANG,Adhesive Rehmannia Cocked Root,Rehmannia glutinosa [Syn.  Rehmannia glutinosa f.  huechingensis],"Minor Warm,Sweet","Liver,Kidney",steamed and sundried root,"To supplement blood and enrich  yin, boost essence and replenish marrow.","Blood vacuity with yellow complexion, dizziness and palpitation, menstrual disorder [=menoxenia], incessant flooding and spotting, liver-kidney  yin depletion, tidal fever with night sweat, impotence and emission, sterility and infertility, limp aching lumbus and knees, tinnitus and deafness, dizzy head and vision, premature graying in beard and hair, diabetes mellitus, constipation, kidney vacuity hasty asthma."
4804,JIN LIAN HUA,Chinese  Globeflower Equivalent plant:  Trollius ledebourii,Trollius chinensis  [Syn.  Trollius asiaticus  var. chinensis],"Cold,Bitter",Lung,flower,"To clear heat and resolve toxin, disperse swelling, brighten eyes.","Common cold with fever, swelling pain in throat, mouth sore, gum swelling and pain, gum hemorrhage, red eyes with gall, swelling toxin of clove sore, acute periostitis, acute lymphangitis."
4825,CHUAN XIONG,Chuanxiong (Wallich Ligusticum) Equivalent plant: Cnidium officinale,Ligusticum chuanxiong  [Syn.  Ligusticum wallichii ],"Warm,Pungent","Liver,Cardiovascular,Gallbladder",rhizome,"To move  qi  and quicken blood, dispel wind and relieve pain.","Cerebral ischemia, postpartum pain, acute icterohepatitis, menstrual disorder, amenorrhea and dysmenorrhea, concretion and conglomeration, chest and rib-side stabbing pain, painful swelling from knocks and falls, headache, wind-damp impediment pain."
4826,LU GEN,Common Reed Rhizome,Phragmites communis,"Cold,Sweet","Lung,Stomach",rhizome,"To clear heat and engender liquid, eliminate vexation, check vomiting, disinhibit urine.","Febrile diseases with vexation and thirst, stomach heat vomiting, lung heat cough, pulmonary welling abscess, heat strangury with inhibited pain."
4847,BU GU ZHI,Malaytea Scurfpea,Psoralea corylifolia,"Extreme Warm,Pungent,Bitter","Spleen,Kidney",fruit,"To supplement kidney and invigorate yang ,   accept  qi and calm asthma, warm spleen and check diarrhea.","Fracture, osteomalacia, osteoporosis, kidney  yang  vacuity, cold pain in lumbus and knees, impotence and emission, frequent urination, enuresis, kidney qi  insecurity, vacuity asthma, spleen-kidney   vacuity, chronic diarrhea, white patch wind, alopecia areata, psoriasis."
4932,JIANG HUANG,Common Turmeric Equivalent plant:  Curcuma aromatica,Curcuma longa,"Warm,Pungent,Bitter","Spleen,Liver",tuberoid,"To break blood and move  qi,   free menstruation and relieve pain.","Gallstones, jaundice, leukaemia in early stage and carcinoma of uterine cervix in early stage, chronic ulcer, chronic scab, blood stasis and  qi  stagnation, pain in chest and abdomen and rib-side, dysmenorrhea, amenorrhea, postpartum stasis stagnation abdominal pain, wind-heat impediment pain, knocks and falls, swollen welling abscess."
4935,JING MI,Rice,Oryza sativa,"Warm,Sweet","Lung,Spleen,Stomach",seed,"To supplement  qi and fortify spleen, eliminate vexation and allay thirst, check dysentery and diarrhea .","Spleen-stomach vacuity, reduced food intake, fatigue hypodynamia, vexation and thirst, diarrhea."
4969,HUO MA REN,Hemp Fimble Seed,Cannabis sativa,"Mild,Sweet","Spleen,Large Intestine,Stomach",ripe seed,"To moisten dryness, lubricate intestines, free stool.","Blood and liquid depletion, intestinal dry and constipation."
4974,FEI LIAN,Curly Bristlethistle Equivalent plant: Carduus acanthoides,Carduus crispus,"Cold,Bitter,Salty","Large Intestine,Stomach",root or whole herb,"To dispel wind, clear heat, disinhibit damp, cool blood and stanch bleeding, quicken blood and disperse swelling.","Common cold with cough, headache and dizziness, infection of urinary system, chyluria, vaginal discharge, jaundice, wind-heat impediment pain, blood ejection, spontaneous external bleeding, hematuria, profuse menstruation, dysfunctional uterine bleeding, knocks and falls, clove sore and swollen boil, toxin swelling from hemorrhoids, scalds."
4978,TAO REN,Peach Kernel,Prunus persica,"Mild,Sweet,Bitter","Large Intestine,Liver,Heart",seed,"To quicken blood and dispel stasis, moisten intestines and free stool.","Amenorrhea, dysmenorrhea, concretion and conglomeration, lump glomus, knocks and falls, intestinal dry and constipation."
5000,GUAN MU TONG,Manchurian Dutchmanspipe,Aristolochia manshuriensis,"Cold,Bitter","Bladder,Small Intestine,Heart",stem,"To clear heart fire, disinhibit urine, free menstruation and milk.","Mouth sore, tongue sores, vexation and reddish urine, edema, heat strangury with inhibited pain, leukorrhea, amenorrhea and scant milk, damp-heat impediment pain."
5042,DI FENG PI,Difengpi Anisetree Equivalent plant: Illicium majus,Illicium difengpi,"Warm,Slightly Pungent,Punkery","Bladder,Kidney",bark,"To dispel wind and eliminate damp, move  qi  and relieve pain.","Pain in joints due to rheumatalgia, taxation damage in lumbar muscle, centipede bite."
5060,SHI CHANG PU,Grassleaved Sweetflag Equivalent plant:  Acorus gramineus,Acorus tatarinowii,"Warm,Pungent,Bitter","Stomach,Heart",Rhizome,"To transform phlegm and open orifices, transform damp and move qi , dispel wind and eliminate impediment, disperse swelling and relieve pain.","Febrile diseases clouded spirit, phlegm reversal, amnesia, tinnitus, deafness, distending pain in stomach duct and abdomen, food-denying dysentery, wind-damp impediment pain, knocks and falls, scab and lichen with welling abscess and flat abscess."
5090,XU CHANG QING,Paniculate Swallowwort,Cynanchum paniculatum,"Warm,Pungent","Lung,Stomach,Liver,Kidney",root,"To dispel wind and transform damp, relieve pain and itch.","Rheumatic arthritis, toothache, lumbago, pain after operation, dysmenorrhea, mastitis, infection of skin, eczema, neurodermatitis, urticaria, infective dermatitis, zoster, wind-damp impediment pain, knocks and falls."
5104,GE GEN,"Lobed Kudzuvine Root Equivalent plant: Pueraria thomsonii, Pueraria edulis,  Pueraria omeiensis ,  Pueraria phaseoloides",Pueraria lobata,"Cool,Pungent,Sweet","Spleen,Stomach",tuberoid,"To engender liquid, outthrust papules, upbear  yang  and check diarrhea.","Angina pectoris, hypertension, headache due to externally contracted wind-heat, rigidity of neck, thirst, diabetes mellitus, non-eruption of measles, heat dysentery, diarrhea, deafness in early stage, optic nerve atrophy, retinitis."
